subject,content,copy_recipient,recipient,sender
[新聞] 被消失的里！1年搬走3千人 僅剩小七亮燈,1.媒體來源:  ETtoday  2.記者署名:  記者賴志昶／桃園報導  3.完整新聞標題:  被消失的里！1年搬走3千人　僅剩小七亮燈「陪里民到最後一刻」  4.完整新聞內文:  桃園市大園區竹圍里為,Jarvis Hong、寧波雙六,陈和文,Hannibal Hsu
 西班牙可以輕鬆八強吧,西班牙無敵艦隊踢得超級強勢 用歐洲優秀傳統 小組控球跑位 就玩死非洲鳥國了 難怪西班牙也是被看好奪冠的隊伍 沒意外要輕鬆虐非洲人了 先恭喜西班牙準備晉級 八強要可能對決到葡萄牙  -- ,,高雄阿猛,Hao He
 每個遊客都買快速通關套票怎麼辦, 現在遊樂園 有夠靠北  門票賣了還不滿足  又出快速通關票  啊我就想 如果大家都買了  不就也要排隊了  那會更生氣吧  這下該怎麼辦  -- ,阿契爾,羅傑恩,某大大
 沒前科就不算黑道？,如題，「沒前科就不算黑道」這句話看久了，是不是就有種似是而非的感覺？  因為很多情況下，沒前科不代表就不是黑道，黑道也不代表一定就有前科，重點是社會對於 「黑道」的概念如何理解：是不是「黑道=有前科」，或者只要與幫派有關聯或涉入的，縱 使沒前科，也算黑道？  而且關於前科部分，如果涉及少年刑事案件的話，依據少年事件處理法第83-1條第2項，符 合一定條件下是可以被塗銷的  「沒前科」的意義，客觀上而言頂多只是宣示一個人目前的狀態是法律上的良民而已，並非 代表一個人當然是社會認定的「良民」，當然跟前科累累放在那邊比起來，看起來絕對是好 很多啦，但也可能只是程度上的差別而已    同理，「沒給錢就不算嫖」這句話，因為沒給錢不一定就沒有嫖，嫖的人不一定會給錢，重 點一樣在於「嫖」的定義是什麼：只要跟非伴侶的他人性交就是嫖，還是雙方的性交是金錢 或其他利益的對價？  當然，一樣，沒給錢的話或許還有被解釋為約砲的空間，給了錢的話就很容易會被社會標籤 化跟違犯社會秩序維護法；所以「有沒有給錢」，客觀上看來會是性行為的定性如何，無法 得知一個人「是否會願意為了性行為而直接付出金錢等代價」  這是不是代表，我們客觀上看來的，往往跟實際狀態存有不一致的解釋空間與可能？  -- ,現在呢,生牛肉,黑雅
 日劇初戀給台灣演會怎樣,日劇好像台灣常常改編，像是東京女子圖鑑，結果改成換男友圖鑑，那同樣的日劇初戀fi rst love如果台灣也要改編翻拍，會有怎樣的劇情，女生長大開計程車、男生從軍嗎？  -- ,Achang,黑雅,Jimmy Good
 家人不讓博七 怎麼辦：(,紅紅我朋友  是個志在學問的博士生  今年還是沒畢業即將博七  我朋友一直以來都全職學生  22大學畢業 24碩畢 現在30左右  總之我朋友被家人要求放棄學業進入職場  可是博班唸很久了不唸完很可惜  家人不讓繼續唸博七怎麼辦  有沒有博七的八卦  -- ,Hannibal Hsu、Rafina,萊恩,Re Re
 南方陽光滿地 台北走進飄雨冬季,安安  大給賀阿!!!  是降的啦  本肥想問問說阿  大家有覺得臺灣的氣候很兩極化嗎？  就像最近 南方陽光滿地 台北走進飄雨冬季  有人也這樣覺得嗎？  而且南方天氣還好到要缺水了耶o'_'o  -- ,neko fake、可可顏,HE HE,余余
 蔡明亮會怎麼拍88會館,大量高階警官出入黑道「88會館」招待所  調查1個月沒下文  如果交給 著名導演蔡明亮去拍 會怎麼拍？  會請李康生演高階警官 在會館吃西瓜嗎？  請教一下   -- ,太菲鴨、sam hoo、Alice Cheng,陳永陽,Drill
 怕！中國是不是要解封了！？, 這幾天微博狂洗Omicron是輕症 已經完全看不到動態清零的字眼 熱搜點進去也都是什麼微博大V在幫解封鋪路  怕！世界的蟑螂，觀光的蝗蟲們是不是要傾巢而出了 我四月才要去日本啊 還想說看不到中國遊客真D舒服 包子484扛不住民怨了  ,葉德瑞、小布、夜狼,迷霧 翔,可可顏
[爆卦] 警大現在體測造假可以安全下莊？,最近警紀問題大家討論很多啦  像是警大校長進出88會館  結果現在警大體測沒參加竄改成績  居然可以自首就安全下莊喔？  不是直接0分嗎  來源：  作弊仔還能自首減刑？ ,,點點,林玉琦
 股票投資人怎麼不團結,一支股票 如果持有的都不賣 價格不就會一直漲 所以說 股票的投資人怎麼不團結一點     -- 努力不一定會成功  但是... 不努力就會很輕鬆哦(#￣▽￣#)  -- ,,林玉琦,Joseph Lee
 年輕人都轉往抖音了 老人又沒跟上？, 現在連國中生都知道要怎麼換區到牆內下載中國版抖音 ,魔王子,阿浪,黃彥彰
[新聞] 孫生崩潰分手！她爆「無法與女友愛愛」,1.媒體來源: 三立新聞網  2.記者署名: 娛樂中心／林偉帆報導  3.完整新聞標題: 孫生崩潰分手！她爆「無法與女友愛愛」 　 驚人原因曝光  4.完整新聞內文: ,Hsin Yen Hsieh、巧虎,Chi,YUHN Z
 《星際效應》2個未解之謎，誰能解答？,第一個謎：  庫柏帶女兒莫菲到NASA被抓，研究人員問他們怎麼找到該處的？ 莫菲說是重力，研究人員追問詳細，庫柏說要保證讓他們安全離開才會講。 結果布蘭德就說他們是NASA，打開門帶他去看普練A和普練B。  不過重點來了： 若研究人員持續追問莫菲說的重力，普練A當年就得到解答，人類就贏了。 但研究人員為什麼後來就不問了？這導致莫菲後來也不在意重力的事了，最後才想起。 不過若是當年追究莫菲說的重力，庫柏也就不會去太空了，就沒有進入五維空間打摩斯 密碼的事情，也就沒有莫菲說的重力了。難道這變成一個死循環，劇情一定要這樣才能 接下去嗎？  總之，我覺得研究人員後來不再追問莫菲說的重力，我感覺接得很突兀。 各位覺得研究人員後來不再追究下去的原因是什麼？單純劇情安排不得已只能這樣？   第二個謎：  庫柏是姓，她女兒叫莫菲．庫柏，那庫柏本人的名是什麼？誰有解答？   -- ,Amano Kazuhira、仴仴,蝦皮,小布
 一直沒確診壓力很大怎麼辦？, 瘋狂性交，這裡是機掰客家人的啦。  本客人年底都會比較忙， 有那種推不掉的正經事。  但是一直沒確診，一旦確診就要 5+n。   這讓我感到非常焦慮， 這幾天喉嚨緊緊的去篩又沒中， 只好乖乖去看耳鼻喉科治感冒。   有沒有一直都沒確診怎麼辦的八卦？   穴穴指交  -- ,coffee hao、龍王剡,Alice Cheng,思辰葉
 核四怎不搞成觀光產業？,應該是全世界唯一一個花了幾千億蓋的核電廠然後不開工的吧   今天看板上說台灣觀光很廢，要不要把核四往觀光發展，感覺還滿有搞頭 應該沒幾個人看 過核電廠內部吧  然後推出一些週邊商品 例如燃料棒性愛玩具之類的 鄉民都可以想出很多營利的方式 拿一 點錢回來也好阿 他媽的幾千億都花了真的放那邊當神主牌喔  -- ,蔡林翰、高雄阿猛,coffee hao,陳宜軒
 有從暈船醒來的經驗嗎？, 相信大家都會看到漂亮的女生  又或是自己的菜  然後讓自己暈船陷入粉紅泡泡內  但明知道很難或不可能  有的人會因此當那個女生的舔狗  有的人因此變成了跟騷的  那大家怎麼從暈船醒過來的，都花多久時間，有人有經驗嗎？ ----- Sent from JPTT on my iPhone  -- ,Aranlee Wu,金仔,狼狼&燐恩
 怕！中國是不是要解封了！？,大家都不覺得可怕嗎？  這群人跟沒打疫苗一樣，  武漢肺炎在這十幾億人身體下面不斷變異，現在又解封出國。  各位確診數又要飆  -- ,Rafina、Su To、台灣黑熊-Taiwan,YuLung Chen,chiu chiu
 鄂圖曼帝國被拆列的主因是什麼？,最近看了一下中東史，好像一戰、二戰後，原本的鄂圖曼帝國，被拆成好幾個國家。  如果按照原來的格局，那些信仰伊斯蘭的，是一個橫跨歐亞非的大國。  那些西方人打的是什麼算盤？  有沒有鄉民可以解卦的？  -- ,Craig,林玉琦,Kevin Chen
[新聞] 獨／國軍最資深西點軍校畢業軍官 洪琬婷,備註請放最後面 違者新聞文章刪除  1.媒體來源: ,巧虎,Achang,楊梓民
 魏導會怎麼拍88會館, 欸欸  最愛台灣的魏導  想必一定會很在意88會館發生的事情  如果魏導想要拍88會館三部曲  會發生什麼事情  有沒有相關的八卦~八卦~我牽掛~~~~   -- ,菜G一只、楊正彥,梁升豪,Slim Paint
 馬斯克的聊天AI根本在陷害我坐牢,我剛剛問了AI一個問題啦  可是他的回答好像怪怪的欸  我問說怎麼讓喜歡的女生幫我吹喇叭  結果他叫我直接講  ,深作沒有咖啡、Ti an、Leo T,DoFu Lin,太菲鴨
 遲到，錯過優惠票，員工說除非家人過世,再補更新：  我想問問推文串四位講話非常尖銳難聽、讓人害怕不安的朋友們  ,Chi、Sousuke、小布,婠兒,某大大
 泣，一不心中了貓屎陷阱 QQ,魯題~~ 阿肥剛想說去清下貓砂盆 走到陽台要穿拖鞋  但左腳一踩上鞋子，就發現有異樣觸感..... 敢緊看了下......是貓屎 嘔嘔嘔嘔，有夠臭的 只好單腳跳去廁所清洗  用好後回房間見到有2隻貓在床上 兇手一定是其中一隻孽畜！！ ,Craig、初日、For Lee,Derong Hong,cjmwwuh
 美國為什麼不會想挖聯發科？,如題  台積電耗水、耗電、又要大量土地  而且美國製造業本來就不興盛  科技業都是走軟體寫程式  為什麼不考慮把聯發科挖過去呢？  聯發科做的晶片屌打高通耶  薪水也很高  在台灣都是一流人才去的  有卦？  -- ,Mono Google、Jo San、鄭承嘉,林克,吳軍
 罪不及妻孥是犯人保護傘吧, 仔細看 那些貪污跟黑道掛勾的 他們的子孫出來選 身邊站的一樣是黑道  還有黑道父親的兒子在學笑 到處嗆人我爸是黑道 給我小心點  黑道妻子在外面 天天叫囂叫我老公來打你  貪污政客兒子女兒享用爸爸錢遊山玩水 你各位辛苦勞作成了他們爽的來源  攤開來看 犯罪根本一人得道 雞犬升天 知道家人幹壞事 阻止的根本少 一起享用的爆多  所以罪不及妻孥 應該是例外 符合某些條件予以不及妻孥 否則全家受罰才是正義的體現阿  罪不及妻孥是犯罪者的保護傘的卦？  讓他們爽爽做惡 福及家人 罪不及妻孥 好爽好爽  ----- Sent from JPTT on my Xiaomi Redmi 6.  -- ,YKX _,菜G一只,笑面貓
 今年紅白的白組是不是很神？,我剛剛看到藤井風確定會以白組歌手的身份參加紅白。  我感覺我今年應該可以在家跨年了。  是說這樣看下來白組的陣容實在是比紅組還要豪華，  鬍子男 King Gnu 鈴木雅之 Vaundy 藤井風  紅組的話就 あいみょん跟MISIA吧 milet我不太看好她的現場表現    是說既然都可以這樣追加了，那YOASOBI是不是也可以期待一下呢？   大家怎麼看？   --  Loudspeaker: AE100 MKII Power amplifier: LOXJIE A30 Headphone for outdoor use: SONY WH-1000XM4 / SONY WI-1000XM2 Headphone for work: Jabra Elite 3 Headphone for exercise: SONY WH-CH700N  -- ,,Jo San,Amano Kazuhira
 急急急! 朋友吞了口香糖 該怎麼辦?,如題 是這樣的啦  這實在是太恐怖了 嚇死人了  我跟朋友聊天到一半 拿口香糖出來嚼  順便問我朋友要不要 他說要我就給他一顆  結果跟他聊天很久都沒看他吐出來 還拿餅乾吃  就問他說 你是不是吞下去了  朋友一驚 答道 對欸 吞下去了  現在該怎麼辦?  他會不會死掉?  有沒有八卦?  -- ,Derong Hong、陳亮生、海陽,初日,阿兩
 克拉克都看什麼類型的A片,  超人克拉克  在地球生活  平常當記者  不知道有沒有那方面的需求  好奇他都看什麼類型的a片  有沒有掛呢？  -- ,,Sousuke,小布
 史上最強的世足隊是哪一隊？,窩一日迷啦  一日迷就是要支持阿根廷　梅希加油！　最後一舞！   所以世足史上最強　最有宰制力的冠軍隊伍是哪一隊阿？  以前巴西隊有一大堆羅納度那一屆，是不是史上最強？  -- ,,Leo T,Patrick Shih
[新聞] 邱議瑩弟涉私菸案被判刑竟升官　民進黨,1.媒體來源: 風傳媒 2.記者署名: 林庭瑤 3.完整新聞標題:  邱議瑩弟涉私菸案被判刑竟升官　民進黨敗選後急調華航人事藏玄機   4.完整新聞內文:  華航私菸案3年多後，往事猶如過眼雲煙，主導專案的羅雅美3月回鍋資深副總經理後，涉 案的立委邱議瑩之弟邱彰信12月1日升至聯合管制處長（實質位階等同副總經理）。啟人 疑竇的是，何以在民進黨九合一選戰慘敗後進行敏感的人事異動？難道另有玄機？  華航私菸案，源於總統蔡英文2019年7月出訪海地、聖露西亞等拉美友邦，總統專機享國 賓禮遇通關免驗行李，有些出訪團成員利用通關禮遇在行李夾帶免稅菸品。總統府侍衛室 的侍衛官及負責專機的部分華航人員，利用這個機會下單訂購9797條免稅菸，並在機上購 買212條菸，總採購創史上最高1萬0009條，市值約新台幣600多萬元。  超量菸「越帶越多」　飛機放不下因「VVIP」紙條曝光 事實上，總統空軍1號專機偷帶免稅菸，已行之有年，馬政府時期頂多超帶個10條、20條 ，蔡政府上任後菸稅大漲，因為「罩得住」，超量的狀況也愈來愈誇張，1個人帶的數量 甚至是百條起跳，飛機甚至載不完。過去747客機因為腹艙空間大，尚可容納，但隨著華 航機隊換成777，腹艙空間有限，僅能帶部分菸品上機，剩餘菸品改從地面禮遇管道闖關 。  上不了飛機的菸品，華航安排放在華膳空廚的免稅倉庫，倉庫內的免稅品眾多，通常不會 有人注意，是因貼上「VVIP」紙條才露餡，也因此造成破口，流出免稅品訂單資料，進而 讓國安局超量帶菸的事件曝光。 檢調介入偵辦，依《菸酒管理法》、《海關緝私條例》 扣留至今。  事發後，總統府聲稱只是「超買」不是「走私」，引發輿論抨擊。蔡英文總統3次出訪 友邦的「同慶」、「海洋民主」、「自由民主永續」專案，全團各買4783條、6818條、1 萬0009條免稅菸；有關的免稅菸總量為2萬多條，但事後負責專案的華航資深副總羅雅美 ，僅有華航「內部責任」，未被檢察官起訴。   一度是華航總經理熱門人選　羅雅美案發後低調「敗部復活」  羅雅美主導專機專案任務，為總統專機空軍1號的專案負責人。羅雅美背後有強大靠山， 就讀東海大學歷史系時就積極參與學運，可說是民進黨學運世代，屬於新潮流系；她也曾 任國安會前秘書長邱義仁機要秘書，2008年政黨輪替後，一度被安排到在國防圈引起爭議 的鐽震公司任職，但鐽震公司解散，羅雅美立刻被安插到華儲公司任職，後轉任華膳採購 經理。  蔡英文會親切地叫一聲「小美」的羅雅美，一路官運亨通，從華膳採購經理三級跳到華航 資深副總，甚至一度是華航總經理的熱門人選。不料，華航私菸案爆發，「小美」因此變 得異常低調，但憑藉超硬的黨政關係，全華航上下搶救一人，最後得以「敗部復活」，今 年3月回鍋資深副總，督導地勤服務處、空服處、資安及法律保險處。   邱彰信升官如搭電梯　案發調職待遇相差無幾　  另一位負責免稅品的是華航空品處的副總經理邱彰信，他是邱議瑩的弟弟。邱彰信自2000 年9月通過華航公司考試成為基層受訓學員後，至今已於華航任職22年，為華航體制內資 深員工，歷任修護工廠、貨運及客運營業等單位。他因捲入私菸案，台北地方法院2021年 一審宣判2年8個月徒刑。  邱彰信原是華航空品處的副總經理，事發時，降調為總經理室高級專員，後至總經理室特 別助理，但卻支領原來職務的主管加給、和變相的3萬元車費補助，所負權責比以前範圍 更大。據知情人士向《風傳媒》透露，邱彰信不到22年就晉升為一級主管，升官速度比別 人快很多，客運處、貨運處及空品處的案子及公文都要經過他，儼然一副將來要接任資深 副總的模樣。  據知情人士指出，私菸案爆發後，邱彰信被調整職務，改為非主管職，因為根據華航內規 規定，有案在身、未定讞前，不能擔任主管。而案發時，邱被調整為非主管職務，薪資等 待遇相差無幾，還算是「暗著來」；但現在則是公然違反公司內規，有案在身仍擔任主管 ，擺明就是要高升他為處長，實質位階等同副總經理，是「明著幹」。  晉升邱彰信助卡位資深副總？華航內部議論聲起 何以華航在此時進行敏感的人事異動？據知情人士指出，趁著民進黨敗選時趕快晉升，因 為明年就有一位資深副總退休，現在趕在這時候晉升邱彰信為等同於「實質副總」的要職 ，公司內部認為是要讓邱取得晉升「資深副總」的門票。而邱彰信涉案被判刑還可以升官 ，華航內部議論紛紛，嘲諷這整起事件應驗了「有關係就沒關係，沒關係就有關係」。  邱議瑩日前在立法院受訪時表示，邱彰信從2000年就透過考試進入華航，「他在華航任職 的時間，比我擔任立委的時間還要更久」。邱議瑩說，「公司的事情，我絕不、也從來不 過問，我只給弟弟最大的支持，我知道他會在自己的工作上面努力、認真與奮鬥。」   「同職等平調」？華航：為營運正常輪調  對於邱彰信的人事案，華航回應，本公司人事安排以公司治理及經營管理為考量，此次人 事異動為華航內部「同職等平調」，為公司營運正常輪調，無需報請交通部或政院核准。 但據知情人士指出，雖是「同職等」但卻絕對不算「平調」，邱彰信的職等雖未變，但卻 是從「非主管」職調整為「主管」職，絕對不算是平調。  邱彰信接任聯合管制處長被質疑「拿飛安當兒戲」，華航強調，飛安為航空公司之本，是 全員責任，公司要求所有單位皆須嚴守飛安第一與落實各項業務，並由直屬總經理之「企 業安全室」負責主管，而「聯合管制處」為營運準點及航班班次管理單位。（相關報導： 藍營北市議長內戰！戴錫欽、陳錦祥上演世代之爭　李彥秀動向成關鍵變數｜更多文章）  民進黨此次選舉慘敗，原因之一是選民對政府傲慢和酬庸，有所不滿。華航私菸案3年後 ，羅雅美、邱彰信有關係者，官復原職，外界愈罵，官升愈快，華航內部暗批「吃相難看 」。私菸案船過水無痕，蔡政府不見反省，再度挑戰人民忍耐的底線。  5.完整新聞連結 (或短網址)需放媒體原始連結，不可用轉載媒體連結: ,Jeffery Chao,太菲鴨,阿契爾
